date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:37	154/154	---MCZ	301	error ('Moved%20Permanently')	text/html	etag:cacheable:8fb2408ef55115a0e5501348fac916fd	https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_ultimate_headcover	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_ultimate_headcover	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:02:37	162/162	---MCZ	301	error ('Moved%20Permanently')	text/html	etag:cacheable:4d1bd5b610605b2fbccb9e73fbd18c6d	https://theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:02:38	162/162	---MCZ	301	error ('Moved%20Permanently')	text/html	etag:cacheable:4d1bd5b610605b2fbccb9e73fbd18c6d	https://theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	C:/My%20Web%20Sites/kinhhh/theme489-hunting.myshopify.com/collections/accessories/products/under_armour_mens_stealth_fleece_full_zip_hoodie	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:02:47	58199/58199	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:38%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_1_170x163_crop_top.png?v=1540215588	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_1_170x163_crop_top4bf8.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:02:48	55866/55866	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:39%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_2_170x163_crop_top.png?v=1540215588	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_2_170x163_crop_top4bf8.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:02:49	53544/53544	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:40%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_3_170x163_crop_top.png?v=1540215588	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_3_170x163_crop_top4bf8.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:02:50	241967/241967	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:24%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/tanglefree_flight_series_dog_blind_5_470x509_crop_top.png?v=1540215627	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/tanglefree_flight_series_dog_blind_5_470x509_crop_topfce5.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/tanglefree_flight_series_dog_blind)
19:02:55	54191/54191	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:47%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_4_170x163_crop_top.png?v=1540215589	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_4_170x163_crop_topa675.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:02:57	53386/53386	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:49%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_5_170x163_crop_top.png?v=1540215589	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_5_170x163_crop_topa675.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
19:04:05	456723/456723	---M--	200	added ('OK')	image/png	date:Thu,%2006%20Feb%202020%2018:02:52%20GMT	http://cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_2_470x509_crop_top.png?v=1540215588	C:/My%20Web%20Sites/kinhhh/cdn.shopify.com/s/files/1/0067/5564/7601/products/scent_lok_full_season_skull_cap_2_470x509_crop_top4bf8.png	(from https://theme489-hunting.myshopify.com/collections/accessories/products/scent_lok_full_season_skull_cap)
